global_rank,site_id,region_name,region_code,rank_in_region,score,lat,lon,x_m,y_m,hls_compliant,resolution_m,score_slope,score_illumination,score_coupling,score_thermal,score_ice,score_hazard,score_los_to_earth,score_seismic,matched_wueller_id,match_dist_km
1,23,Mons Mouton Plateau,MP,1,0.7321002187812035,-85.06808891284687,26.88525078935749,67670.0,133470.0,True,20.0,0.9800848795754444,0.6906882059272562,0.0,0.9657230264630322,0.9994302409684814,,1.0,,MMP01,
2,24,Mons Mouton Plateau,MP,2,0.7215579225898229,-84.21851829393702,27.349275698591967,80610.0,155850.0,True,20.0,0.972494668010794,0.6730882946165303,0.0,0.8977741307307748,1.0,,1.0,,,
3,25,Mons Mouton Plateau,MP,3,0.7201406655193218,-84.31397288575833,38.31704677612449,106990.0,135390.0,True,20.0,0.8836317956257048,0.7224815507375065,0.0,0.9929627677475962,0.9653931387971616,,1.0,,,
4,26,Mons Mouton Plateau,MP,4,0.7194066119955265,-84.33995595240744,37.3162036811531,104130.0,136610.0,True,20.0,0.9756931705873002,0.6151959960097609,0.0,0.9986319917233476,1.0,,1.0,,MMP11,
5,27,Mons Mouton Plateau,MP,5,0.7163600413846342,-85.06212553694267,26.11525921691228,65950.0,134530.0,True,20.0,0.9538679604005628,0.6631239940456699,0.0,0.8919860433234643,1.0,,1.0,,MMP01,
6,28,Mons Mouton Plateau,MP,6,0.715704164917692,-84.31470010359905,25.26846366646109,73650.0,156030.0,True,20.0,0.940836781803886,0.714649290718611,0.0,0.9981996171231304,0.9074006949567628,,1.0,,,
7,29,Mons Mouton Plateau,MP,7,0.7130339750154983,-84.97797434641473,35.62072523089788,88750.0,123870.0,True,20.0,0.9586839190113556,0.6052833899027739,0.0,0.9768832232496616,1.0,,1.0,,NR108,
8,30,Mons Mouton Plateau,MP,8,0.7130157444365562,-84.18999538313118,32.41835895107483,94530.0,148850.0,True,20.0,0.9712390922962592,0.6022781015388536,0.0,0.9630378714674156,1.0,,1.0,,,
9,31,Mons Mouton Plateau,MP,9,0.7127203083032236,-84.01185586775296,27.43214147638585,83730.0,161310.0,True,20.0,0.9726300570781102,0.6423414103125068,0.0,0.9933898554107232,0.9439651542424324,,1.0,,,
10,32,Mons Mouton Plateau,MP,10,0.7098011799145693,-85.17415289773294,26.66479938674776,65710.0,130850.0,True,20.0,0.9462150887704228,0.6848896325137278,0.0,0.9791289735727884,0.9122369369147962,,1.0,,MMP01,
